Azure Batch を用いた計算ワークロードで、短期間および長期ジョブを効率的に管理するために推奨されるプールタイプとVM構成はどれか?|スポット仮想マシンによるバッチサービス|専用仮想マシンによるユーザーサブスクリプション|専用仮想マシンによるバッチサービス|優先度の低い仮想マシンによるユーザーサブスクリプション|||||C|短期および長期ジョブの両方に対応し、安定性と効率を確保できるのはAzure Batchが管理する専用VMプール。スポットやユーザー管理VMは中断リスクや管理負荷が高いため不適切。|Microsoft Azure Documentation: Batch service overview|Cloud::Azure Batch  Cloud::Azure VM  Cloud::Architecture::Cost Optimization
Azure SQL Database において、月次レポート用でデータ増加率が年間5％、月1回のみアクセスするデータベースに適したサービス階層はどれか?|コアベースのビジネスクリティカル|DTUベースのプレミアム|vCoreベースの汎用|DTUベースの標準|||||D|月1回のみ利用で軽量負荷、年間データ増加率5％のシナリオでは、DTUベースの標準層がコスト効率とパフォーマンスのバランスが最適。他の階層は過剰でコストが高い。|Microsoft Azure Documentation: SQL Database service tiers|Cloud::Azure SQL Database  Cloud::Architecture::Cost Optimization  Database::Relational
Azure およびオンプレミスのVM間通信でパケットフィルタリング問題をトラブルシューティングするため、最も包括的な分析を提供するソリューションはどれか?|AzureネットワークウォッチャーNSGフローログ|Azureファイアウォールポリシー|AzureネットワークウォッチャーNSGフローログ|Azure Application Gateway 診断|||||A|NSGフローログはVMレベルでのトラフィック詳細を提供し、許可・拒否ルールの可視化や過去ログ分析により、パケットフィルタリング問題の特定に最適。他の選択肢はVM間通信分析には不十分。|Microsoft Azure Documentation: Network Watcher NSG flow logs|Networking::Azure NSG  Networking::Azure Network Watcher  Networking::Troubleshooting
Azure 上で複数の仮想マシンのパフォーマンスを監視し、閾値超過時にアラートをトリガーするために使用すべきサービスはどれか?|Azure モニター|Azure Application Insights|Azure セキュリティセンター|Azure ログ アナリティクス|||||A|Azure Monitor は仮想マシンのパフォーマンス指標収集、分析、アラート発行、可視化を統合的に提供。他の選択肢はアプリケーション監視やセキュリティ分析に特化しており、VM監視には不適切。|Microsoft Azure Documentation: Azure Monitor|Monitoring::Azure VM  Cloud::Azure Monitoring  Cloud::Azure
AzureでステートレスWebアプリをホストする場合、フルアクセス、.NET Frameworkサポート、カスタム依存関係インストール、リージョン冗長性を満たす最適なソリューションはどれか?|Azure アプリサービス環境 (ASE) と Azure Traffic Manager|Azure Traffic Manager を搭載した 2 台の Azure 仮想マシン|拡張機能を有効にしたスケールセットの2台のAzure仮想マシン|孤立したプランとトラフィックマネージャーを備えたAzureアプリサービス|||||C|VMスケールセットによりフルアクセスと.NET Framework対応が可能で、カスタム依存関係をインストールでき、Traffic Managerでリージョン冗長性を確保できる。オートスケーリングにより負荷変動にも対応。|Microsoft Azure Documentation: Virtual Machine Scale Sets|Cloud::Azure VM  Cloud::Architecture::High Availability  Cloud::Azure App Deployment
Azure Databricks で機密データを処理する財務分析アプリケーションにおいて、厳格なアクセス制御とコンプライアンス記録を実現するために使用すべきクラスタ構成はどれか?|セキュアクラスター接続|クラスタスコープのinitスクリプト|ロールベースアクセス制御(RBAC)|プライベートリンク連携|||||C|RBAC により特定ディレクトリへのアクセスを制限し、Azure AD 統合でユーザー管理、アクセスログ記録によりコンプライアンス要件を満たせる。他の選択肢はアクセス制御や監査ログに不十分。|Microsoft Azure Documentation: Databricks RBAC and Data Access|Security::Azure RBAC  Cloud::Azure Databricks  Security::Azure Compliance
高可用性eコマースプラットフォームで、低遅延の読み書き操作、マルチリージョン整合性、災害復旧を実現するために推奨されるAzureサービスはどれか?|ジオレプリケーション付きAzure SQLデータベース|Azure Cosmos DBは、マルチリージョンの書き込みと高い一貫性を備えています|Azure Redis セッション管理およびデータ保存用キャッシュ|Azure Blob ストレージとライフサイクル管理ポリシー|||||B|Cosmos DB はマルチリージョン書き込み、強い一貫性、低遅延、水平スケーリング、災害復旧機能を提供し、リアルタイム在庫管理やeコマース取引処理に最適。他の選択肢はスケーラビリティや整合性で制約がある。|Microsoft Azure Documentation: Cosmos DB|Cloud::Azure Cosmos DB  Database::Distributed  Cloud::Architecture::High Availability
オンプレミスOracleデータベースをAzureに移行し、Databricksで変換してSynapse Analyticsにロードする際、安全かつ低遅延で効率的なデータ転送と整合性維持を実現するために組み込むべきAzureサービスはどれか? (2つ選択)|統合ランタイムを備えたAzure Data Factory|中間データストレージ用Azure Data Lake Storage Gen2|Azure ExpressRoute 専用ネットワーク接続用|物理的データ転送のためのAzureデータボックス|||||A C|ADFの統合ランタイムによりデータ移行・変換・ロードを自動化し、ExpressRouteによりセキュアで低遅延な接続を提供。これによりデータ整合性と効率的な転送が保証される。|Microsoft Azure Documentation: Data Factory, ExpressRoute|Cloud::Azure Data Factory  Cloud::Azure ExpressRoute  Cloud::Azure Databricks  Cloud::Azure Synapse Analytics
高可用性でマルチリージョンのWebアプリケーションにおいて、リアルタイムパフォーマンス指標と自動フェイルオーバーに基づくインテリジェントなトラフィック分散を提供するAzureサービスはどれか?|Azure フロントドア|Azure トラフィックマネージャー|Azureアプリケーションゲートウェイ|Azure ロード バランサー|||||A|Azure Front Door はリアルタイムパフォーマンス指標に基づくインテリジェントルーティング、自動フェイルオーバー、グローバルロードバランシング、セキュリティ機能を統合的に提供し、高可用性Webアプリに最適。他サービスはグローバル負荷分散やHTTP(S)レベル制御が限定的。|Microsoft Azure Documentation: Front Door|Cloud::Azure Front Door  Cloud::Architecture::High Availability  Cloud::Architecture::Global Load Balancing
Azure仮想WANに標準層のセキュアなExpressRoute接続を導入する際、最初に行うべきステップはどれか?|仮想WANのルーティングポリシーを設定する|プライマリハブと同じリージョンにExpressRoute回路を作成する|仮想WAN向けにExpressRouteのプレミアムアドオンを有効にする|仮想WANをプレミアム層にアップグレードする|||||B|ExpressRoute回路はプライマリハブと同じリージョンに作成することで、接続のパフォーマンスと低遅延を確保し、その後のルーティングや仮想ネットワーク接続設定の基盤を構築できる。|Microsoft Azure Documentation: Virtual WAN and ExpressRoute|Networking::Azure ExpressRoute  Networking::Azure Virtual WAN  Cloud::Architecture::High-Performance Network
