複数のAzureサブスクリプションを使用してさまざまなプロジェクトを管理している組織が、すべてのサブスクリプション間でコストを追跡・分析し、各プロジェクトに費用を割り当てたい。詳細なレポート作成を可能にしつつ、管理作業は最小限に抑えたい。この要件を満たすために導入すべき機能はどれか。(2つ選択)|Azure 管理グループ|リソースタグ|Azure ブループリント|Azure 予算|||||A B|Azure 管理グループは複数のサブスクリプションを階層的にまとめて管理でき、管理グループ単位でAzure Cost Managementのコスト分析を行うことができるため、複数サブスクリプション全体のコストを一元的に可視化できる。リソースタグはキーと値のペアでリソースを分類でき、プロジェクト名や部門などのタグを付与することで、Cost Managementでタグ単位のコスト分析が可能になり、プロジェクトごとの費用配分を実現できる。Azure ブループリントは環境の標準化やポリシー展開を目的とした機能であり、コスト追跡の直接的な手段ではない。Azure 予算はコストのアラートや上限管理を行う機能であり、複数サブスクリプションの詳細なコスト分析やプロジェクト単位の分類には適さない。したがって正解はAzure 管理グループとリソースタグである。|AZ-900 / Azure コスト管理|Azure::CostManagement Azure::ManagementGroups Azure::Tags Cloud::CostManagement
オンプレミスでホストされている内部Webアプリケーション（統合Windows認証を使用）に、VPNを使用せずリモートユーザーからアクセスさせたい。組織はオンプレミスActive DirectoryとAzure Active Directoryを併用している。リモートユーザーにシームレスな認証を提供するために導入すべき機能はどれか。(2つ選択)|Azure AD アプリケーションプロキシ|Azure AD ドメインサービス|Azure AD B2B コラボレーション|Azure AD MFAによる条件付きアクセス|||||A D|Azure AD アプリケーションプロキシは、オンプレミスでホストされているWebアプリケーションをAzure AD経由で安全に公開し、VPNを使用せずにリモートユーザーがアクセスできるようにする機能である。さらに統合Windows認証(IWA)やシングルサインオンをサポートしており、ユーザーはAzure ADで認証するだけで内部アプリケーションにシームレスにアクセスできる。Azure AD MFAによる条件付きアクセスは、ユーザーの場所・デバイス・リスクレベルなどの条件に応じて多要素認証を要求でき、リモートアクセス時のセキュリティを強化できる。Azure AD ドメインサービスはマネージドドメインを提供するサービスであり、このシナリオのようなオンプレミスWebアプリの公開には直接必要ない。Azure AD B2B コラボレーションは外部ユーザー招待の機能であり、内部Webアプリへのリモートアクセスの実現とは関係がない。したがって正解はAとDである。|AZ-104 / Azure AD アプリケーションアクセス|Azure::ActiveDirectory Azure::ApplicationProxy Azure::ConditionalAccess Azure::MFA Security::IdentityAccess
Azure仮想ネットワークのセキュリティ管理者として、特定のリソースに対するインバウンドトラフィックを制御する必要がある。特定のIPアドレスの一覧からのトラフィックのみを許可し、それ以外のすべてのソースからのアクセスを拒否したい。この要件を満たすために実装すべき構成はどれか。|すべてのトラフィックを拒否し、特定のIPアドレスからのトラフィックのみを許可するインバウンドルールを持つネットワークセキュリティグループ(NSG)を作成する|Azure Firewall を展開し、アプリケーションルールで特定のIPアドレスのみを許可する|UDR を使用してトラフィックをネットワーク仮想アプライアンスにリダイレクトするルートテーブルを構成する|Azure Front Door を実装し、特定IPのみ許可するカスタムルールを設定する|||||A|ネットワークセキュリティグループ(NSG)は、サブネットまたはネットワークインターフェースに適用できるAzureの基本的なネットワークセキュリティ機能であり、IPアドレス・ポート・プロトコルに基づいてインバウンドおよびアウトバウンドトラフィックを制御できる。特定のIPアドレスからのアクセスを許可するルールを作成し、それ以外のトラフィックを拒否することで、特定の送信元のみアクセス可能にできる。Azure Firewallはより高度なネットワークおよびアプリケーションレベルのセキュリティを提供するが、このシナリオでは過剰な構成となる。UDRはトラフィックのルーティング制御のための機能であり、アクセス制御には直接使用しない。Azure Front DoorはグローバルHTTPロードバランサーであり、仮想ネットワークへの直接的なインバウンド制御の用途には適さない。したがって最も適切なのはNSGである。|AZ-104 / Azure ネットワークセキュリティ|Azure::Networking Azure::NSG Azure::VirtualNetwork Security::NetworkAccessControl
Azure サブスクリプションのコンプライアンスレポートを作成する必要がある。リソースを部門や組織タグでグループ化して整理し、コンプライアンス報告を可能にしたい。この要件を満たすために導入すべきソリューションはどれか。|Azure リソース グループとロールアサインメント|Azure 管理グループおよびポリシー|Azure タグおよび Azure ポリシー|Azure Active Directory (Azure AD) 管理単位|||||C|Azure タグはキーと値のペアでリソースにメタデータを付与する機能であり、Department=Finance や Environment=Prod のように部門や用途でリソースを分類できる。これにより、Azure Cost Management やレポート機能でタグ単位の集計や分析が可能になる。Azure ポリシーは組織のガバナンスルールを適用し、必須タグの存在を監査したり、タグがないリソース作成を拒否したり、自動でタグを付与することができるため、組織全体のコンプライアンス管理を実現できる。リソースグループとロールアサインメントはリソース管理やアクセス制御のための機能であり、タグベースの分類やコンプライアンスレポートの仕組みは提供しない。管理グループはサブスクリプション管理用であり、リソース単位のタグ分類には適さない。Azure AD 管理単位はユーザーやグループ管理の機能でありAzureリソース管理には使用しない。したがって正解はAzureタグとAzureポリシーである。|AZ-104 / Azure ガバナンス|Azure::Policy Azure::Tags Azure::Governance Cloud::ResourceManagement
Azure Active Directory 環境のセキュリティを強化するため、ユーザーの地理的位置に基づいて機密リソースへのアクセスを制限したい。また、企業ネットワーク外からアクセスする場合は多要素認証(MFA)を必須にし、信頼できる場所には例外を設定する必要がある。この高度なアクセスポリシーを実装するために使用すべき Azure AD 機能はどれか。|Azure AD 条件付きアクセス|Azure AD 条件付きアクセス|Azure AD アイデンティティガバナンス|Azure AD アプリケーションプロキシ|||||A|Azure AD 条件付きアクセスは、ユーザー・場所・デバイス状態・リスクレベルなどの条件に基づいてアクセス制御ポリシーを適用できる機能である。これにより、特定の国やIP範囲などの地理的位置に基づくアクセス制御や、企業ネットワーク外からのアクセス時に多要素認証(MFA)を要求するポリシーを設定できる。また、信頼できる場所を定義して例外を設定することも可能であり、既存のセキュリティ監視ツールとも統合できる。Azure AD Identity Governance はアクセスレビューやライフサイクル管理を目的とした機能であり、リアルタイムのアクセス条件制御ではない。Azure AD Application Proxy はオンプレミスアプリへの安全なリモートアクセスを提供する機能であり、地理的位置やMFA条件に基づくアクセスポリシーを直接実装するものではない。したがって正解はAzure AD 条件付きアクセスである。|AZ-104 / Azure AD セキュリティ|Azure::ActiveDirectory Azure::ConditionalAccess Azure::MFA Security::IdentityAccess
Azure サブスクリプション内に複数のリソースが存在する。新しい Azure Resource Manager (ARM) デプロイメントの月次レポートを作成する必要がある。デプロイメントに関するデータを収集してレポートを作成するために使用すべきソリューションはどれか。|Azure アクティビティログ|Azure Monitor メトリクス|Azure Log Analytics|Azure コスト管理 + 請求|||||A|Azure アクティビティログは、Azure サブスクリプションレベルで実行される管理操作（リソースの作成、更新、削除など）を記録するプラットフォームログである。ARM テンプレートによるデプロイメントやリソースの変更操作も記録されるため、いつ・誰が・どのリソースをデプロイしたかを追跡できる。これらのログはフィルタリングやエクスポートが可能であり、月次レポート作成に利用できる。Azure Monitor メトリクスはCPU使用率などのパフォーマンスデータを収集するサービスであり、デプロイメント履歴の追跡には使用しない。Azure Log Analytics はログ分析のためのワークスペースであり、アクティビティログなどを分析するための基盤ではあるが、ARMデプロイメントイベントの元データではない。Azure コスト管理 + 請求はコスト分析用のサービスであり、デプロイメント履歴のレポート作成には適していない。したがって正解は Azure アクティビティログである。|AZ-104 / Azure リソース管理|Azure::ActivityLog Azure::ARM Azure::ResourceManager Cloud::Monitoring
複数の部門を持つ大規模組織向けに Azure 環境を設計している。各部門は異なるレベルのアクセス制御とガバナンス要件を持っており、組織ポリシーに準拠しながらリソースを管理する必要がある。このシナリオで管理グループとリソースグループを組み合わせて使用する主な利点はどれか。|組織内のすべてのリソースに対して中央集権的な請求管理とコスト管理を可能にする|複数レベルでポリシーやアクセス制御を適用でき、部門間で一貫したガバナンスを実現できる|Azure 環境のアプリケーションに対して自動スケーリングと負荷分散を提供する|すべての部門に対してワンクリックでリソースをプロビジョニングできる|||||B|Azure 管理グループは複数のサブスクリプションを階層構造で整理し、Azure Policy や RBAC などのガバナンス設定を上位レベルから適用できる機能である。これにより、組織全体や部門単位でポリシーを一貫して適用できる。一方、リソースグループはサブスクリプション内で関連するリソースをまとめるコンテナであり、リソース単位のライフサイクル管理やアクセス制御を実現する。管理グループとリソースグループを組み合わせることで、組織レベル・サブスクリプションレベル・リソースレベルの複数階層でポリシーとアクセス制御を適用でき、大規模組織でも一貫したガバナンスを維持できる。コスト管理は主目的ではなく、自動スケーリングやデプロイ自動化とも直接関係しないため他の選択肢は不適切である。|AZ-104 / Azure ガバナンス|Azure::ManagementGroups Azure::ResourceGroups Azure::Policy Azure::RBAC Cloud::Governance
Azure 上でサーバーレスアーキテクチャを設計し、アプリケーションログから特定のエラーパターンを定期的に監視する必要がある。エラーが検出された場合は是正措置のための自動承認ワークフローを起動し、さらに堅牢なログ取得と監査機能を備えなければならない。この要件を満たすために組み合わせて使用すべき Azure サービスはどれか。|Azure Logic Apps、Azure Functions、および Azure Monitor|Azure Event Grid、Azure Automation、および Azure Storage|Azure Functions、Azure Service Bus、および Azure Application Insights|Azure API Management、Azure Batch、および Azure DevOps|||||A|Azure Functions はサーバーレスコンピューティングサービスであり、ログ処理やエラーパターンの検出などのコードをイベント駆動で実行できる。Azure Logic Apps はワークフロー自動化サービスであり、エラー検出時に承認プロセスや修復処理などの自動ワークフローを簡単に構築できる。Azure Monitor はログ収集、メトリクス監視、アラート生成を提供し、Log Analytics を利用してログクエリや監査を実行できるため、システム全体の監視と監査要件を満たすことができる。Event Grid や Service Bus はイベント通知やメッセージング用途であり、ワークフロー自動化やログ分析を直接提供するわけではない。API Management や Batch、DevOps はAPI管理やバッチ処理、CI/CD用途のサービスであり、このシナリオのサーバーレスログ監視と自動ワークフロー要件には適さない。したがって正解は Azure Logic Apps、Azure Functions、Azure Monitor の組み合わせである。|AZ-204 / Azure サーバーレスアーキテクチャ|Azure::Functions Azure::LogicApps Azure::Monitor Azure::Serverless Cloud::Monitoring
異なるリージョンに存在する複数の Azure 仮想ネットワーク (VNet) 間で、安全かつ効率的な通信を確立する必要がある。ネットワーク同士が単一のネットワークのように通信し、高いセキュリティとパフォーマンスを維持しながらデータ転送を行えるようにしたい。このシナリオにおける VNet Peering の主な利点を最も正確に説明しているものはどれか。|仮想ネットワーク間のトランジットルーティングを可能にし、ハブネットワーク経由の間接通信を提供する|すべてのピアリングされた仮想ネットワークで単一のIPアドレス空間を共有し、ネットワーク管理を簡素化する|Azure Firewall を自動的に統合し、すべてのネットワークで統一されたセキュリティポリシーを提供する|パブリックインターネットを経由しない直接のプライベート接続を提供し、外部脅威への露出を減らす|||||D|VNet Peering は Azure 仮想ネットワーク同士を直接接続する機能であり、通信は Azure のバックボーンネットワークを通じて行われる。そのためトラフィックはパブリックインターネットを経由せず、低遅延かつ高帯域の通信が可能になる。また、インターネットを通らないため外部攻撃のリスクを低減でき、セキュリティ面でも優れている。VNet Peering 自体はトランジティブルーティングを提供しないため、ハブネットワーク経由の通信を自動的に可能にするわけではない。さらに各 VNet は独自の IP アドレス空間を維持する必要があり、単一のアドレス空間を共有するわけではない。Azure Firewall との統合も自動ではなく、別途構成が必要である。したがって正しい説明は「パブリックインターネットを経由しない直接のプライベート接続を提供する」である。|AZ-104 / Azure ネットワーク|Azure::VirtualNetwork Azure::VNetPeering Azure::Networking Security::NetworkArchitecture
Linux と Windows の両方を実行している 400 台の Azure 仮想マシンを管理している。システムメトリクスとカスタムアプリケーションログを監視しながら、ログデータをスケーラブルかつ集中管理できるようにしたい。仮想マシンにインストールすべきエージェントはどれか。|Azure Monitor エージェント (AMA)|Azure 診断拡張機能|Azure セキュリティエージェント|Azure Network Watcher エージェント|||||A|Azure Monitor エージェント (AMA) は、Windows と Linux の両方の仮想マシンからメトリクスやログを収集し、Azure Monitor や Log Analytics ワークスペースに送信するための推奨エージェントである。大規模環境でもスケーラブルにログ収集を行うことができ、システムメトリクスだけでなくカスタムアプリケーションログの収集も可能である。Azure 診断拡張機能は旧来のログ収集手法であり、大規模かつ柔軟なログ管理には適していない。Azure セキュリティエージェントはセキュリティ監視（Defender for Cloud）向けであり、汎用的なログ収集用途ではない。Network Watcher エージェントはネットワーク診断専用であり、システムメトリクスやアプリケーションログ収集には使用しない。したがって正解は Azure Monitor エージェントである。|AZ-104 / Azure 監視|Azure::Monitor Azure::AMA Azure::VirtualMachines Cloud::Monitoring
